100
16 8
YRRY RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RYYR
RRRR BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB RRRR
RRRR BBBB BBBB YRRY YRRY YRRY BBBB BBBB BBBB YRRY YRRY BBBB BBBB BBBB BBBB RRRR
RRRR BBBB BBBB YRRY BBBB YRRY BBBB BBBB BBBB BBBB YRRY BBBB BBBB BBBB BBBB RRRR
RRRR BBBB BBBB YRRY BBBB YRRY BBBB BBBB BBBB BBBB YRRY BBBB BBBB BBBB BBBB RRRR
RRRR BBBB BBBB YRRY YRRY YRRY BBBB BBBB RRRY YRRY YRRY YRRY YRRR BBBB BBBB RRRR
RRRR BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB RRRR
RYYR RRRR RRRR BRRB RRRR RRRR RRRR BRRB RRRR RRRR RRRR BRRB RRRR RRRR RRRR YRRY
11
Loot 4,4 250
Loot 1,6 1000
Loot 10,2 150
Loot 14,1 250
Loot 5,0 550
Door 15,7 false
Clock 12,3 10
Gate 7,1 false B
Lever 13,4 B
Bomb 8,3 4
Bomb 8,0 4
3
FlyingAssassin 0,1 e
FloorFollowingThief 7,5 w R
SmartThief 7,7 s
Player 0,0
