100
16 10
GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG RRRR RRRR GGGG GGGG GGGG GGGG GGGG GGGG
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR GGGG
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BGGB
BBBB RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
YBBY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY RRRR RRRR RRRR RRRR RRRR
YBBY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY RYYR RRRR RRRR RRRR RRRR RRRR
BBBB RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BGGB
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR GGGG
GGGG GGGG GGGG GGGG GGGG GGGG GGGG GGGG RRRR RRRR GGGG GGGG GGGG GGGG GGGG GGGG
17
Loot 15,4 1000
Loot 4,9 300
Loot 9,0 250
Loot 0,5 150
Loot 6,4 150
Loot 3,8 550
Loot 13,5 500
Loot 14,9 150
Clock 10,7 15
Clock 2,2 15
Clock 3,3 15
Lever 15,7 B
Gate 5,6 false B
Lever 4,4 R
Gate 11,6 false R
Door 8,9 false
Bomb 12,3 4
4
FlyingAssassin 0,4 w
FlyingAssassin 14,7 n
SmartThief 6,3 s
FloorFollowingThief 7,5 w R
Player 0,0
