100
15 10
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBAA
BBBB AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA
BBBB AAAA AAAG GGGG GGGG AAGA AAAY YYYY YYYY AAYA AAAR RRRR RRRR AARA AAAA
BBBB AAAA GGGG GGGG GGGG GGGG YYYY YYYY YYYY YYYY RRRR RRRR RRRR RRRR AAAA
BBBB AAAA GGGG GGGG GGGG GGGG YYYY YYYY YYYY YYYY RRRR RRRR RRRR RRRR AAAA
BBBB AAAA AGAA GGGG GGGG GAAA AYAA YYYY YYYY YAAA ARAA RRRR RRRR RAAA AAAA
BBBB AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB AABB
BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB
17
Loot 8,9 550
Loot 11,0 150
Loot 9,5 150
Loot 4,2 100
Loot 13,8 200
Loot 12,5 400
Loot 7,4 400
Loot 3,5 400
Loot 5,0 600
Clock 5,4 15
Clock 11,7 15
Lever 2,5 R
Gate 9,3 false R
Lever 10,8 B
Gate 6,6 false B
Bomb 0,5 4
Door 0,9 false
4
FlyingAssassin 0,4 w
FlyingAssassin 14,7 n
SmartThief 3,8 n
FloorFollowingThief 10,2 w R
Player 0,0
