100
15 10
MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM
MMMM BCCB MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM BCCB MMMM
MMMM BCCB RRRR RBCR RRRR RRRR RRRR RRRR RRRR RRRR MMMM MMMM MMMM BCCB MMMM
MMMM BCCB RRRR BBBB BBBB BBBB BBBB BBBB RRRR RRRR BBBB MMMM MMMM BCCB MMMM
MMMM BCCB BCCB BCCB BCCB BCCB BCCB BCCB RRRR RRRR BCCB MMMM MMMM BCCB MMMM
MMMM BCCB MMMM BCCB RRRR RRRR RRRR RRRR RRRR RRRR BCCB MMMM MMMM BCCB MMMM
MMMM BCCB MMMM BCCB BCCB RRRR RRRR RRRR RRRR RRRR BCCB MMMM MMMM BCCB MMMM
MMMM BCCB MMMM BBBB BBBB BBBB BBBB BBBB BBBB BBBB BCCB BCCB BCCB BCCB MMMM
MMMM BCCB MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM BCCB MMMM
MMMM MBBM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM MMMM
18
Loot 2,4 1000
Loot 1,6 550
Loot 7,3 300
Loot 3,6 250
Loot 11,5 150
Loot 8,6 150
Loot 5,9 150
Loot 12,9 150
Clock 7,5 15
Clock 10,8 15
Clock 10,0 20
Lever 9,3 R
Gate 0,9 false R
Lever 9,8 B
Gate 6,2 false B
Bomb 5,1 4
Bomb 10,2 4
Door 14,9 false
5
FlyingAssassin 0,4 e
FlyingAssassin 14,5 s
FloorFollowingThief 3,7 e B
FloorFollowingThief 9,6 s R
SmartThief 10,4 n
Player 0,0
