100
15 10
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
RRRR YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY YYYY RRRR
RAAR YYYY YBBB BBBB BBBB BBBB BBBB BMBB BBBB BBBB BBBB BBBB BYBB YYYY RAAR
RRRR YBYY BBBB RAAA AAAA AAAA AAAA AAAA AAAA AAAA AAAA RAAA BBBB YYBY RRRR
RRRR YYYY BRMB AAYA BMMM MMMM MMMM MMMM MMMM MMMM MBMM AAYA BRRB YYYY RRRR
RRRR YAAY BBBB AAAA MMBM MMMM MMMM MMMM MMMM MMMM MMMB AAAA BBMB YAYY RRRR
RAAR YYYY BBBB AARA AAAA AAAA AAAA AAAY AAAA AAAA AAAA AARA BBBB YYYY RAAR
RRRR YBBY BYBB BMBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB BBBB YBBB YYYY RRRR
RRRR YYYY YYYY YYYY YYYY YYYY YYYY YAAY YYYY YYYY YYYY YBYY YYYY YYYY RRRR
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
18
Loot 6,4 1000
Loot 1,6 550
Loot 7,3 300
Loot 3,6 250
Loot 7,0 150
Loot 8,6 150
Loot 5,9 150
Loot 12,9 150
Clock 7,5 15
Clock 10,8 15
Clock 5,0 20
Lever 9,3 R
Gate 0,9 false R
Lever 9,8 B
Gate 6,2 false B
Bomb 5,1 4
Bomb 10,2 4
Door 9,9 false
5
FlyingAssassin 1,4 n
FlyingAssassin 14,5 e
FloorFollowingThief 3,7 e B
FloorFollowingThief 9,5 s A
SmartThief 10,5 n
Player 0,0
